"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"722","DayGroupEarly1064",0.118137435877173,0.0878706247379243,178,1.34444743313843,0.180514562188218,"5.1.99.6","Early",0.354046021756214,1.92725419744734,1.95914711308058
"723","DayGroupEarly1026",0.178449230969762,0.13290816053554,178,1.34265067134116,0.181094826859183,"4.3.3.7","Early",0.35425205578785,3.74707864102372,3.73742464029664
"724","DayGroupEarly1035",0.105576370344596,0.0787617921592261,178,1.34045160032876,0.181806916408463,"4.4.1.8","Early",0.355068613082978,1.49300905766903,1.45205147272404
"725","DayGroupLate12",-0.0420147248284827,0.0194761844245112,158,-2.15723593044263,0.03249871686434,"1.1.1.159","Late",0.361407829365565,0.0936288520960791,0.0762580805533177
"726","DayGroupLate838",0.228501170074434,0.106148222279143,178,2.15266129915519,0.0326916625733167,"3.5.4.16","Late",0.361407829365565,1.98436960693237,2.06363508939693
"727","DayGroupEarly101",-0.0336709456689736,0.0253255285812255,148,-1.32952587982447,0.185720166253881,"1.17.1.2","Early",0.361539257408605,0.145746232363866,0.169561693693989
"728","DayGroupEarly303",0.202909544153885,0.152640567483229,162,1.32932907351894,0.185608417532518,"2.3.1.129","Early",0.361539257408605,1.49458112916142,1.56650883785773
"729","DayGroupEarly16",0.121524101319091,0.0918790639467484,178,1.32265280139907,0.187647671967317,"1.1.1.193","Early",0.362629731042206,1.94675300919948,1.96392119660744
"730","DayGroupEarly44",0.0324439703255442,0.0246024357151799,176,1.31873001117227,0.188972758571807,"1.1.1.369","Early",0.362629731042206,0.23594297167712,0.228073853914456
"731","DayGroupEarly107",-0.0378962855037097,0.0287239727795241,172,-1.31932604847489,0.188813708188621,"1.17.5.2","Early",0.362629731042206,0.166208150149513,0.179920039361646
"732","DayGroupEarly128",-0.00477232555622393,0.00361871161913426,147,-1.31879134302657,0.18928971022867,"1.2.5.1","Early",0.362629731042206,0.0212628495117072,0.0219960119676793
"733","DayGroupEarly217",0.0491295746971582,0.0372176996513638,155,1.32005941144613,0.188761335358738,"1.8.4.14","Early",0.362629731042206,0.161973966978258,0.194234142100259
"734","DayGroupEarly230",-0.0836165758951603,0.0632768950431837,178,-1.32143930004934,0.188050916616796,"2.1.1.133","Early",0.362629731042206,1.0369655353253,1.10029015702094
"735","DayGroupEarly842",0.121524101319091,0.0918790639467484,178,1.32265280139907,0.187647671967317,"3.5.4.26","Early",0.362629731042206,1.94675300919948,1.96392119660744
"736","DayGroupEarly918",0.129669115571908,0.098377604759794,178,1.31807555071622,0.189172055878613,"4.1.1.36","Early",0.362629731042206,2.46973515515446,2.49085222144014
"737","DayGroupEarly960",0.0262863322211654,0.019837663665942,165,1.32507197741712,0.186979309273744,"4.2.1.109","Early",0.362629731042206,0.0743321416389903,0.0731790623448648
"738","DayGroupEarly980",0.0729264378619696,0.05530747187379,178,1.31856393704608,0.189008968830039,"4.2.1.44","Early",0.362629731042206,0.476831100305095,0.450170188105185
"739","DayGroupLate785",0.0436703836040056,0.0203439747072146,178,2.14660036853657,0.0331788447546575,"3.4.24.57","Late",0.363459162994202,0.0695037743758361,0.0713633127166252
"740","DayGroupLate83",-0.0793766753660938,0.0370758517125104,125,-2.14092655191276,0.034221290542702,"1.11.1.18","Late",0.365018976664501,0.189383162758376,0.173637931683949
